TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Simulation Summary #1,Allocation Ratio (nt/nc),Parameter,Allocation Ratio (nt/nc),20260813T162120_3e171d,,
Simulation Summary #1,Allocation Ratio (nt/nc),Value,2,20260813T162120_3e171d,,
Simulation Summary #1,Average Power at Final Analysis,Parameter,Average Power at Final Analysis,20260813T162120_3e171d,,
Simulation Summary #1,Average Power at Final Analysis,Value,0,20260813T162120_3e171d,,
Simulation Summary #1,Average Power at Termination,Parameter,Average Power at Termination,20260813T162120_3e171d,,
Simulation Summary #1,Average Power at Termination,Value,0,20260813T162120_3e171d,,
Simulation Summary #1,Hypothesis,Parameter,Hypothesis,20260813T162120_3e171d,,
Simulation Summary #1,Hypothesis,Value,Super Superiority,20260813T162120_3e171d,,
Simulation Summary #1,Number of Interims,Parameter,Number of Interims,20260813T162120_3e171d,,
Simulation Summary #1,Number of Interims,Value,1,20260813T162120_3e171d,,
Simulation Summary #1,Randomization Method,Parameter,Randomization Method,20260813T162120_3e171d,,
Simulation Summary #1,Randomization Method,Value,Complete Randomization Design,20260813T162120_3e171d,,
Simulation Summary #1,Sample Size (n),Parameter,Sample Size (n),20260813T162120_3e171d,,
Simulation Summary #1,Sample Size (n),Value,14888,20260813T162120_3e171d,,
Simulation Summary #1,Super Superiority Margin (δ0),Parameter,Super Superiority Margin (δ0),20260813T162120_3e171d,,
Simulation Summary #1,Super Superiority Margin (δ0),Value,0.5321,20260813T162120_3e171d,,
Simulation Summary #1,Test Name,Parameter,Test Name,20260813T162120_3e171d,,
Simulation Summary #1,Test Name,Value,Difference of Means (Parallel Design),20260813T162120_3e171d,,
Simulation Summary #1,Test Statistic,Parameter,Test Statistic,20260813T162120_3e171d,,
Simulation Summary #1,Test Statistic,Value,t,20260813T162120_3e171d,,
Simulation Summary #1,Test Type,Parameter,Test Type,20260813T162120_3e171d,,
Simulation Summary #1,Test Type,Value,1-Sided,20260813T162120_3e171d,,
Simulation Summary #2,Dropout Distribution,Parameter,Dropout Distribution,20260813T162120_3e171d,,
Simulation Summary #2,Dropout Distribution,Value,Binomial,20260813T162120_3e171d,,
Simulation Summary #2,Follow-up Time (Month),Parameter,Follow-up Time (Month),20260813T162120_3e171d,,
Simulation Summary #2,Follow-up Time (Month),Value,6.85,20260813T162120_3e171d,,
Simulation Summary #2,Input Method,Parameter,Input Method,20260813T162120_3e171d,,
Simulation Summary #2,Input Method,Value,Individual Means,20260813T162120_3e171d,,
Simulation Summary #2,Mean Control (μc),Parameter,Mean Control (μc),20260813T162120_3e171d,,
Simulation Summary #2,Mean Control (μc),Value,0.832,20260813T162120_3e171d,,
Simulation Summary #2,Mean Treatment (μt),Parameter,Mean Treatment (μt),20260813T162120_3e171d,,
Simulation Summary #2,Mean Treatment (μt),Value,1.321,20260813T162120_3e171d,,
Simulation Summary #2,Probability of Dropout,Parameter,Probability of Dropout,20260813T162120_3e171d,,
Simulation Summary #2,Probability of Dropout,Value,0.08922,20260813T162120_3e171d,,
Simulation Summary #2,Response Distribution,Parameter,Response Distribution,20260813T162120_3e171d,,
Simulation Summary #2,Response Distribution,Value,Normal,20260813T162120_3e171d,,
Simulation Summary #2,Standard Deviation Control (σc),Parameter,Standard Deviation Control (σc),20260813T162120_3e171d,,
Simulation Summary #2,Standard Deviation Control (σc),Value,2.655,20260813T162120_3e171d,,
Simulation Summary #2,Standard Deviation Treatment (σt),Parameter,Standard Deviation Treatment (σt),20260813T162120_3e171d,,
Simulation Summary #2,Standard Deviation Treatment (σt),Value,2.655,20260813T162120_3e171d,,
