TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Plan #3,Dose 3,Parameter,Dose 3,20260807T132711_2497eb,,
Plan #3,Dose 3,Value,7,20260807T132711_2497eb,,
Plan #3,Dose 4,Parameter,Dose 4,20260807T132711_2497eb,,
Plan #3,Dose 4,Value,8,20260807T132711_2497eb,,
Simulation Summary #1,Cohort Size,Parameter,Cohort Size,20260807T132711_2497eb,,
Simulation Summary #1,Cohort Size,Value,2,20260807T132711_2497eb,,
Simulation Summary #1,Maximum Sample Size,Parameter,Maximum Sample Size,20260807T132711_2497eb,,
Simulation Summary #1,Maximum Sample Size,Value,29,20260807T132711_2497eb,,
Simulation Summary #1,Target Probability of Toxicity (PT),Parameter,Target Probability of Toxicity (PT),20260807T132711_2497eb,,
Simulation Summary #1,Target Probability of Toxicity (PT),Value,0.33,20260807T132711_2497eb,,
Simulation Summary #1,Test Name,Parameter,Test Name,20260807T132711_2497eb,,
Simulation Summary #1,Test Name,Value,i3+3 (Single Agent Cohort Enrollment Design),20260807T132711_2497eb,,
Simulation Summary #1,ε1,Parameter,ε1,20260807T132711_2497eb,,
Simulation Summary #1,ε1,Value,0.068,20260807T132711_2497eb,,
Simulation Summary #1,ε2,Parameter,ε2,20260807T132711_2497eb,,
Simulation Summary #1,ε2,Value,0.058,20260807T132711_2497eb,,
Simulation Summary #2,Curve Family,Parameter,Curve Family,20260807T132711_2497eb,,
Simulation Summary #2,Curve Family,Value,General,20260807T132711_2497eb,,
Simulation Summary #2,Starting Dose (L),Parameter,Starting Dose (L),20260807T132711_2497eb,,
Simulation Summary #2,Starting Dose (L),Value,8,20260807T132711_2497eb,,
Simulation Summary #3,Number of Simulations Run,Parameter,Number of Simulations Run,20260807T132711_2497eb,,
Simulation Summary #3,Number of Simulations Run,Value,100,20260807T132711_2497eb,,
Simulation Summary #3,Random Number Seed,Parameter,Random Number Seed,20260807T132711_2497eb,,
Simulation Summary #3,Random Number Seed,Value,Fixed,20260807T132711_2497eb,,
Simulation Summary #3,Starting Seed,Parameter,Starting Seed,20260807T132711_2497eb,,
Simulation Summary #3,Starting Seed,Value,100,20260807T132711_2497eb,,
Simulation Summary #3,Total Number of Simulations,Parameter,Total Number of Simulations,20260807T132711_2497eb,,
Simulation Summary #3,Total Number of Simulations,Value,100,20260807T132711_2497eb,,
Simulation Summary #4,Maximum Number of Patients at a Dose Level (k),Parameter,Maximum Number of Patients at a Dose Level (k),20260807T132711_2497eb,,
Simulation Summary #4,Maximum Number of Patients at a Dose Level (k),Value,17,20260807T132711_2497eb,,
Trial Early Stopping Summary,1,Probability of Early Stopping Trial Due to Reaching k (%),29,20260807T132711_2497eb,,
Trial Early Stopping Summary,1,Probability of Early Stopping Trial Due to Safety Rule (%),1,20260807T132711_2497eb,,
Trial Early Stopping Summary,1,Probability of Stopping Trial Due to Reaching n (%),70,20260807T132711_2497eb,,
Trial Summary,0.395,Mean,28.6,20260807T132711_2497eb,,
Trial Summary,0.395,Probability of Toxicity,0.395,20260807T132711_2497eb,,
Trial Summary,0.395,Standard Deviation,2.72,20260807T132711_2497eb,,
