TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Sample Size Information,Completers (s),params,Completers (s),20260822T132209_3c8bfd,,
Sample Size Information,Completers (s),trtmtArm,,20260822T132209_3c8bfd,,
Sample Size Information,Completers (s),value,,20260822T132209_3c8bfd,,
Sample Size Information,Dropouts (d),ctrlArm,,20260822T132209_3c8bfd,,
Sample Size Information,Dropouts (d),params,Dropouts (d),20260822T132209_3c8bfd,,
Sample Size Information,Dropouts (d),trtmtArm,,20260822T132209_3c8bfd,,
Sample Size Information,Dropouts (d),value,,20260822T132209_3c8bfd,,
Sample Size Information,Expected H0,ctrlArm,222.207,20260822T132209_3c8bfd,,
Sample Size Information,Expected H0,ctrlArm,141.414,20260822T132209_3c8bfd,,
Sample Size Information,Expected H0,ctrlArm,40.806,20260822T132209_3c8bfd,,
Sample Size Information,Expected H0,params,Expected H0,20260822T132209_3c8bfd,,
Sample Size Information,Expected H0,params,Expected H0,20260822T132209_3c8bfd,,
Sample Size Information,Expected H0,params,Expected H0,20260822T132209_3c8bfd,,
Sample Size Information,Expected H0,trtmtArm,303.798,20260822T132209_3c8bfd,,
Sample Size Information,Expected H0,trtmtArm,192.356,20260822T132209_3c8bfd,,
Sample Size Information,Expected H0,trtmtArm,55.264,20260822T132209_3c8bfd,,
Sample Size Information,Expected H0,value,526.005,20260822T132209_3c8bfd,,
Sample Size Information,Expected H0,value,333.771,20260822T132209_3c8bfd,,
Sample Size Information,Expected H0,value,96.069,20260822T132209_3c8bfd,,
Sample Size Information,Expected H1,ctrlArm,241.276,20260822T132209_3c8bfd,,
Sample Size Information,Expected H1,ctrlArm,157.295,20260822T132209_3c8bfd,,
Sample Size Information,Expected H1,ctrlArm,45.311,20260822T132209_3c8bfd,,
Sample Size Information,Expected H1,params,Expected H1,20260822T132209_3c8bfd,,
Sample Size Information,Expected H1,params,Expected H1,20260822T132209_3c8bfd,,
Sample Size Information,Expected H1,params,Expected H1,20260822T132209_3c8bfd,,
Sample Size Information,Expected H1,trtmtArm,329.449,20260822T132209_3c8bfd,,
Sample Size Information,Expected H1,trtmtArm,214.093,20260822T132209_3c8bfd,,
Sample Size Information,Expected H1,trtmtArm,61.496,20260822T132209_3c8bfd,,
Sample Size Information,Expected H1,value,570.726,20260822T132209_3c8bfd,,
Sample Size Information,Expected H1,value,371.388,20260822T132209_3c8bfd,,
Sample Size Information,Expected H1,value,106.807,20260822T132209_3c8bfd,,
Sample Size Information,Maximum,ctrlArm,329,20260822T132209_3c8bfd,,
Sample Size Information,Maximum,ctrlArm,255,20260822T132209_3c8bfd,,
Sample Size Information,Maximum,ctrlArm,73,20260822T132209_3c8bfd,,
Sample Size Information,Maximum,params,Maximum,20260822T132209_3c8bfd,,
Sample Size Information,Maximum,params,Maximum,20260822T132209_3c8bfd,,
Sample Size Information,Maximum,params,Maximum,20260822T132209_3c8bfd,,
Sample Size Information,Maximum,trtmtArm,448,20260822T132209_3c8bfd,,
Sample Size Information,Maximum,trtmtArm,349,20260822T132209_3c8bfd,,
Sample Size Information,Maximum,trtmtArm,100,20260822T132209_3c8bfd,,
Sample Size Information,Maximum,value,777,20260822T132209_3c8bfd,,
Sample Size Information,Maximum,value,604,20260822T132209_3c8bfd,,
Sample Size Information,Maximum,value,173,20260822T132209_3c8bfd,,
Sample Size Information,Maximum Information (I),ctrlArm,,20260822T132209_3c8bfd,,
Sample Size Information,Maximum Information (I),params,Maximum Information (I),20260822T132209_3c8bfd,,
Sample Size Information,Maximum Information (I),trtmtArm,,20260822T132209_3c8bfd,,
Sample Size Information,Maximum Information (I),value,713.791,20260822T132209_3c8bfd,,
Sample Size Information,row_0,ctrlArm,Control Arm,20260822T132209_3c8bfd,,
Sample Size Information,row_0,params,,20260822T132209_3c8bfd,,
Sample Size Information,row_0,trtmtArm,Treatment Arm,20260822T132209_3c8bfd,,
Sample Size Information,row_0,value,Total,20260822T132209_3c8bfd,,
Sample Size Information,Sample Size (n),ctrlArm,,20260822T132209_3c8bfd,,
Sample Size Information,Sample Size (n),params,Sample Size (n),20260822T132209_3c8bfd,,
Sample Size Information,Sample Size (n),trtmtArm,,20260822T132209_3c8bfd,,
Sample Size Information,Sample Size (n),value,,20260822T132209_3c8bfd,,
Stopping Boundaries (Per Analysis),1,Analysis #,1,20260822T132209_3c8bfd,,
Stopping Boundaries (Per Analysis),1,Analysis Spacing (%) Info,50,20260822T132209_3c8bfd,,
Stopping Boundaries (Per Analysis),1,Cumulative α Spent,0.034,20260822T132209_3c8bfd,,
Stopping Boundaries (Per Analysis),1,Cumulative β Spent,0.446,20260822T132209_3c8bfd,,
Stopping Boundaries (Per Analysis),1,Efficacy Z,-1.819,20260822T132209_3c8bfd,,
Stopping Boundaries (Per Analysis),1,Futility Z,-0.859,20260822T132209_3c8bfd,,
Stopping Boundaries (Per Analysis),1,Sample Size (n),488,20260822T132209_3c8bfd,,
Stopping Boundaries (Per Analysis),2,Analysis #,2,20260822T132209_3c8bfd,,
Stopping Boundaries (Per Analysis),2,Analysis Spacing (%) Info,78.974,20260822T132209_3c8bfd,,
Stopping Boundaries (Per Analysis),2,Cumulative α Spent,0.072,20260822T132209_3c8bfd,,
Stopping Boundaries (Per Analysis),2,Cumulative β Spent,0.544,20260822T132209_3c8bfd,,
