TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Simulation Summary #1,Average Power at Termination,Parameter,Average Power at Termination,20260822T132804_d50144,,
Simulation Summary #1,Average Power at Termination,Value,0,20260822T132804_d50144,,
Simulation Summary #1,Hypothesis,Parameter,Hypothesis,20260822T132804_d50144,,
Simulation Summary #1,Hypothesis,Value,Super Superiority,20260822T132804_d50144,,
Simulation Summary #1,Number of Interims,Parameter,Number of Interims,20260822T132804_d50144,,
Simulation Summary #1,Number of Interims,Value,1,20260822T132804_d50144,,
Simulation Summary #1,Randomization Method,Parameter,Randomization Method,20260822T132804_d50144,,
Simulation Summary #1,Randomization Method,Value,Complete Randomization Design,20260822T132804_d50144,,
Simulation Summary #1,Sample Size (n),Parameter,Sample Size (n),20260822T132804_d50144,,
Simulation Summary #1,Sample Size (n),Value,822,20260822T132804_d50144,,
Simulation Summary #1,Super Superiority Margin (δ0),Parameter,Super Superiority Margin (δ0),20260822T132804_d50144,,
Simulation Summary #1,Super Superiority Margin (δ0),Value,0.6856,20260822T132804_d50144,,
Simulation Summary #1,Test Name,Parameter,Test Name,20260822T132804_d50144,,
Simulation Summary #1,Test Name,Value,Difference of Proportions (Parallel Design),20260822T132804_d50144,,
Simulation Summary #1,Test Type,Parameter,Test Type,20260822T132804_d50144,,
Simulation Summary #1,Test Type,Value,1-Sided,20260822T132804_d50144,,
Simulation Summary #2,Difference in Proportions δ = πt - πc,Parameter,Difference in Proportions δ = πt - πc,20260822T132804_d50144,,
Simulation Summary #2,Difference in Proportions δ = πt - πc,Value,0.2222,20260822T132804_d50144,,
Simulation Summary #2,Dropout Distribution,Parameter,Dropout Distribution,20260822T132804_d50144,,
Simulation Summary #2,Dropout Distribution,Value,Binomial,20260822T132804_d50144,,
Simulation Summary #2,Follow-up Time (Month),Parameter,Follow-up Time (Month),20260822T132804_d50144,,
Simulation Summary #2,Follow-up Time (Month),Value,8.88,20260822T132804_d50144,,
Simulation Summary #2,Probability of Dropout,Parameter,Probability of Dropout,20260822T132804_d50144,,
Simulation Summary #2,Probability of Dropout,Value,0.123456,20260822T132804_d50144,,
Simulation Summary #2,Proportion under Control (πc),Parameter,Proportion under Control (πc),20260822T132804_d50144,,
Simulation Summary #2,Proportion under Control (πc),Value,0.633335,20260822T132804_d50144,,
Simulation Summary #2,Proportion under Treatment (πt),Parameter,Proportion under Treatment (πt),20260822T132804_d50144,,
Simulation Summary #2,Proportion under Treatment (πt),Value,0.855535,20260822T132804_d50144,,
Simulation Summary #2,Response Distribution,Parameter,Response Distribution,20260822T132804_d50144,,
Simulation Summary #2,Response Distribution,Value,Binomial,20260822T132804_d50144,,
Simulation Summary #3,Number of Simulations Run,Parameter,Number of Simulations Run,20260822T132804_d50144,,
Simulation Summary #3,Number of Simulations Run,Value,100,20260822T132804_d50144,,
Simulation Summary #3,Random Number Seed,Parameter,Random Number Seed,20260822T132804_d50144,,
Simulation Summary #3,Random Number Seed,Value,Fixed,20260822T132804_d50144,,
Simulation Summary #3,Starting Seed,Parameter,Starting Seed,20260822T132804_d50144,,
Simulation Summary #3,Starting Seed,Value,100,20260822T132804_d50144,,
Simulation Summary #3,Total Number of Simulations,Parameter,Total Number of Simulations,20260822T132804_d50144,,
Simulation Summary #3,Total Number of Simulations,Value,100,20260822T132804_d50144,,
