TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Simulation Boundaries and Incremental Boundary Crossing Probabilities,4,Futility,0,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,4,Futility Z,Infinity,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,5,%,0,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,5,Analysis #,5,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,5,Completers,739,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,5,Count,0,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,5,Efficacy,0,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,5,Efficacy Z,-1.344,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,5,Futility,0,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,5,Futility Z,-1.344,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,Total,%,—,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,Total,Analysis #,Total,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,Total,Completers,—,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,Total,Count,100,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,Total,Efficacy,100,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,Total,Efficacy Z,—,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,Total,Futility,0,20260819T115459_be5590,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,Total,Futility Z,—,20260819T115459_be5590,,
Simulation Summary #1,Allocation Ratio (nt/nc),Parameter,Allocation Ratio (nt/nc),20260819T115459_be5590,,
Simulation Summary #1,Allocation Ratio (nt/nc),Value,1.898,20260819T115459_be5590,,
Simulation Summary #1,Average Power at Final Analysis,Parameter,Average Power at Final Analysis,20260819T115459_be5590,,
Simulation Summary #1,Average Power at Final Analysis,Value,1,20260819T115459_be5590,,
Simulation Summary #1,Average Power at Termination,Parameter,Average Power at Termination,20260819T115459_be5590,,
Simulation Summary #1,Average Power at Termination,Value,1,20260819T115459_be5590,,
Simulation Summary #1,Hypothesis,Parameter,Hypothesis,20260819T115459_be5590,,
Simulation Summary #1,Hypothesis,Value,Noninferiority,20260819T115459_be5590,,
Simulation Summary #1,Noninferiority Margin (ρ0),Parameter,Noninferiority Margin (ρ0),20260819T115459_be5590,,
Simulation Summary #1,Noninferiority Margin (ρ0),Value,1.65238,20260819T115459_be5590,,
Simulation Summary #1,Number of Interims,Parameter,Number of Interims,20260819T115459_be5590,,
Simulation Summary #1,Number of Interims,Value,4,20260819T115459_be5590,,
Simulation Summary #1,Randomization Method,Parameter,Randomization Method,20260819T115459_be5590,,
Simulation Summary #1,Randomization Method,Value,Complete Randomization Design,20260819T115459_be5590,,
Simulation Summary #1,Sample Size (n),Parameter,Sample Size (n),20260819T115459_be5590,,
Simulation Summary #1,Sample Size (n),Value,777,20260819T115459_be5590,,
Simulation Summary #1,Test Name,Parameter,Test Name,20260819T115459_be5590,,
