TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Stopping Boundaries (Per Analysis),1,Efficacy Z,-4.05,20260803T151353_648510,,
Stopping Boundaries (Per Analysis),1,Events (s),221,20260803T151353_648510,,
Stopping Boundaries (Per Analysis),2,Analysis #,2,20260803T151353_648510,,
Stopping Boundaries (Per Analysis),2,Analysis Spacing (%) Info,50.057,20260803T151353_648510,,
Stopping Boundaries (Per Analysis),2,Cumulative α Spent,0.002,20260803T151353_648510,,
Stopping Boundaries (Per Analysis),2,Efficacy Z,-2.888,20260803T151353_648510,,
Stopping Boundaries (Per Analysis),2,Events (s),442,20260803T151353_648510,,
Stopping Boundaries (Per Analysis),3,Analysis #,3,20260803T151353_648510,,
Stopping Boundaries (Per Analysis),3,Analysis Spacing (%) Info,74.972,20260803T151353_648510,,
Stopping Boundaries (Per Analysis),3,Cumulative α Spent,0.01,20260803T151353_648510,,
Stopping Boundaries (Per Analysis),3,Efficacy Z,-2.371,20260803T151353_648510,,
Stopping Boundaries (Per Analysis),3,Events (s),662,20260803T151353_648510,,
Stopping Boundaries (Per Analysis),4,Analysis #,4,20260803T151353_648510,,
Stopping Boundaries (Per Analysis),4,Analysis Spacing (%) Info,100,20260803T151353_648510,,
Stopping Boundaries (Per Analysis),4,Cumulative α Spent,0.023,20260803T151353_648510,,
Stopping Boundaries (Per Analysis),4,Efficacy Z,-2.06,20260803T151353_648510,,
Stopping Boundaries (Per Analysis),4,Events (s),883,20260803T151353_648510,,
Survival Information : Cum. % Survival,1,Alt.,1,20260803T151353_648510,,
Survival Information : Cum. % Survival,1,By Time (Week),1,20260803T151353_648510,,
Survival Information : Cum. % Survival,1,Control (Sc),96.593378,20260803T151353_648510,,
Survival Information : Cum. % Survival,1,Null.,1.25,20260803T151353_648510,,
Survival Information : Cum. % Survival,1,Period,1,20260803T151353_648510,,
Survival Information : Cum. % Survival,1,Treatment (St0),95.76055,20260803T151353_648510,,
Survival Information : Cum. % Survival,1,Treatment (St1),96.593378,20260803T151353_648510,,
Survival Information : Cum. % Survival,2,Alt.,1,20260803T151353_648510,,
Survival Information : Cum. % Survival,2,By Time (Week),2,20260803T151353_648510,,
Survival Information : Cum. % Survival,2,Control (Sc),95,20260803T151353_648510,,
Survival Information : Cum. % Survival,2,Null.,1.25,20260803T151353_648510,,
Survival Information : Cum. % Survival,2,Period,2,20260803T151353_648510,,
Survival Information : Cum. % Survival,2,Treatment (St0),93.790341,20260803T151353_648510,,
Survival Information : Cum. % Survival,2,Treatment (St1),95,20260803T151353_648510,,
Survival Information : Cum. % Survival,3,Alt.,1,20260803T151353_648510,,
Survival Information : Cum. % Survival,3,By Time (Week),3,20260803T151353_648510,,
